Name,Description,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N,lon,lat
10009,Bt Merah Int,2,BUKIT MERAH,BUKIT MERAH,CENTRAL REGION,103.81722480263161,1.28210155945393
10011,BEF NEIL RD,16,EVERTON PARK,BUKIT MERAH,CENTRAL REGION,103.83749709165197,1.2777380589963998
10017,Aft Hosp Dr,5,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,CENTRAL REGION,103.83762574759973,1.27832046633393
10018,Outram Pk Stn Exit F/SGH,5,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,CENTRAL REGION,103.83860360621959,1.27900819665099
10021,Blk 3,16,EVERTON PARK,BUKIT MERAH,CENTRAL REGION,103.83838894560753,1.2774483794664298
10041,BEF KAMPONG BAHRU TER,16,EVERTON PARK,BUKIT MERAH,CENTRAL REGION,103.83519065305671,1.2760583477035299
10049,OPP KAMPONG BAHRU TER,5,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,CENTRAL REGION,103.83483786772155,1.2762330242439301
10051,Blk 149,11,KAMPONG TIONG BAHRU,BUKIT MERAH,CENTRAL REGION,103.83214410914843,1.2774116353283997
10059,Opp Blk 149,5,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,CENTRAL REGION,103.83275178077875,1.2773966416749696
10061,Blk 140,11,KAMPONG TIONG BAHRU,BUKIT MERAH,CENTRAL REGION,103.82948638898173,1.2786047219688503
10069,Opp Blk 140,5,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,CENTRAL REGION,103.83008250001667,1.27855472196877
10071,Blk 111,11,KAMPONG TIONG BAHRU,BUKIT MERAH,CENTRAL REGION,103.82638920754815,1.2804530942366297
10079,Blk 201,4,TIONG BAHRU STATION,BUKIT MERAH,CENTRAL REGION,103.82708906887606,1.2803950142786
10081,Opp Blk 120,2,BUKIT MERAH,BUKIT MERAH,CENTRAL REGION,103.82241744338572,1.2822783541702
10089,Blk 119,8,HENDERSON HILL,BUKIT MERAH,CENTRAL REGION,103.82165660905856,1.28292332245689
10091,Bt Merah Town Ctr,2,BUKIT MERAH,BUKIT MERAH,CENTRAL REGION,103.81783962251122,1.28394108576437
10099,Opp Bt Merah Town Ctr,3,REDHILL,BUKIT MERAH,CENTRAL REGION,103.81765723225827,1.28420923932422
10101,OPP BT MERAH SEC SCH,2,BUKIT MERAH,BUKIT MERAH,CENTRAL REGION,103.81374366011399,1.28502568134889
10109,BT MERAH SEC SCH,7,ALEXANDRA HILL,BUKIT MERAH,CENTRAL REGION,103.81365537642607,1.2853140316316198
10111,Opp Blk 28,7,ALEXANDRA HILL,BUKIT MERAH,CENTRAL REGION,103.80935410958448,1.28592835098556
10119,Opp Pacific Tech Ctr,7,ALEXANDRA HILL,BUKIT MERAH,CENTRAL REGION,103.81122515087834,1.2859800901070397
10121,Blk 126 CP,4,TIONG BAHRU STATION,BUKIT MERAH,CENTRAL REGION,103.8288419,1.2826261110000001
10129,Blk 121,4,TIONG BAHRU STATION,BUKIT MERAH,CENTRAL REGION,103.82857194448019,1.28231999999009
10131,Opp Blk 2,7,ALEXANDRA HILL,BUKIT MERAH,CENTRAL REGION,103.80686549059318,1.2861914138239403
10139,Blk 1,7,ALEXANDRA HILL,BUKIT MERAH,CENTRAL REGION,103.8081000223439,1.28635135443034
10141,Blk 18,10,TIONG BAHRU,BUKIT MERAH,CENTRAL REGION,103.83238179897589,1.28583847140468
10149,Blk 1,10,TIONG BAHRU,BUKIT MERAH,CENTRAL REGION,103.83283384311112,1.28606797463712
10151,Ctrl Green Condo,4,TIONG BAHRU STATION,BUKIT MERAH,CENTRAL REGION,103.82852922870948,1.2857204836540101
10161,Opp Tiong Bahru Plaza,4,TIONG BAHRU STATION,BUKIT MERAH,CENTRAL REGION,103.82668969231534,1.28593135445772
10169,Tiong Bahru Plaza,4,TIONG BAHRU STATION,BUKIT MERAH,CENTRAL REGION,103.82748123930962,1.28599961406266
10171,Opp Tiong Bahru Pk,8,HENDERSON HILL,BUKIT MERAH,CENTRAL REGION,103.82346004890803,1.28736808047078
10179,Tiong Bahru Pk,8,HENDERSON HILL,BUKIT MERAH,CENTRAL REGION,103.82395833301354,1.28722333302937
10181,BEF AR-RABITAH MQUE,8,HENDERSON HILL,BUKIT MERAH,CENTRAL REGION,103.8209448467392,1.2884877114812399
10189,Blk 104A CP,8,HENDERSON HILL,BUKIT MERAH,CENTRAL REGION,103.82183192865197,1.2885880522280597
10191,Blk 78,3,REDHILL,BUKIT MERAH,CENTRAL REGION,103.81903121724014,1.2886002602009603
10199,Delta Swim Cplx,8,HENDERSON HILL,BUKIT MERAH,CENTRAL REGION,103.81936618662203,1.28875723330649
10201,Opp Redhill Stn,3,REDHILL,BUKIT MERAH,CENTRAL REGION,103.81662854691157,1.2892814453256698
10209,Redhill Stn,3,REDHILL,BUKIT MERAH,CENTRAL REGION,103.816728854507,1.28954631749853
10211,Porsche Ctr S'pore,7,ALEXANDRA HILL,BUKIT MERAH,CENTRAL REGION,103.81144166700753,1.29075499997303
10219,Opp Motor Image,7,ALEXANDRA HILL,BUKIT MERAH,CENTRAL REGION,103.81191424883255,1.2908952665184898
10221,Ganges Ctr,9,BUKIT HO SWEE,BUKIT MERAH,CENTRAL REGION,103.83111793441608,1.29032906602668
10229,Opp Harvest Mans,9,BUKIT HO SWEE,BUKIT MERAH,CENTRAL REGION,103.83178189529582,1.29052137840164
10231,Blk 51 CP,9,BUKIT HO SWEE,BUKIT MERAH,CENTRAL REGION,103.8278819,1.290468056
10239,Blk 79,9,BUKIT HO SWEE,BUKIT MERAH,CENTRAL REGION,103.82865,1.2905999999999997
10241,Gan Eng Seng Sec Sch,8,HENDERSON HILL,BUKIT MERAH,CENTRAL REGION,103.82362326803131,1.2906166672166999
10249,Opp Gan Eng Seng Sec Sch,6,ALEXANDRA NORTH,BUKIT MERAH,CENTRAL REGION,103.82407777797806,1.2908813889967101
10261,Delta Sports Hall,8,HENDERSON HILL,BUKIT MERAH,CENTRAL REGION,103.82047232884216,1.2909033584269198
10269,Opp Delta Sports Hall,6,ALEXANDRA NORTH,BUKIT MERAH,CENTRAL REGION,103.8205758328077,1.2912533192745803
10271,Opp Tanglin View,3,REDHILL,BUKIT MERAH,CENTRAL REGION,103.81757666701353,1.29115999997607
10279,Tanglin View,6,ALEXANDRA NORTH,BUKIT MERAH,CENTRAL REGION,103.81757660887743,1.2915137316497802
10281,SIS Bldg,7,ALEXANDRA HILL,BUKIT MERAH,CENTRAL REGION,103.81445166697797,1.29153833298318
10289,Opp SIS Bldg,5,MARGARET DRIVE,QUEENSTOWN,CENTRAL REGION,103.81440639448375,1.2918699745377997
10291,Bef Dawson Rd,7,ALEXANDRA HILL,BUKIT MERAH,CENTRAL REGION,103.81065866068086,1.2921585527385797
10299,Aft Dawson Rd,5,MARGARET DRIVE,QUEENSTOWN,CENTRAL REGION,103.81146486767656,1.29233498466278
10321,Aft Margaret Dr,5,MARGARET DRIVE,QUEENSTOWN,CENTRAL REGION,103.81587839882768,1.29428332949691
10329,Crescent Girls' Sch,6,ALEXANDRA NORTH,BUKIT MERAH,CENTRAL REGION,103.81597460107542,1.29364671283262
