Name,desc,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N,lon,lat
kml_1,,3,BISHAN EAST,BISHAN,CENTRAL REGION,103.848304991875,1.35057959904686
kml_2,,1,BENDEMEER,KALLANG,CENTRAL REGION,103.861502357509,1.3201068758744
kml_3,,3,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,103.895705456484,1.39237084373065
kml_4,,3,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,103.895636894716,1.39179563739944
kml_5,,3,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION,103.895405721204,1.3918291197088
kml_6,,4,TUAS BAY,TUAS,WEST REGION,103.639284344781,1.3298724238504
kml_7,,3,TUAS NORTH,TUAS,WEST REGION,103.639790711079,1.33018233002457
kml_8,,2,TUAS PROMENADE,TUAS,WEST REGION,103.637245720192,1.34042689902466
kml_9,,2,TUAS PROMENADE,TUAS,WEST REGION,103.636840667393,1.34094007247694
kml_10,TAMPINES MRT STATION,2,TAMPINES EAST,TAMPINES,EAST REGION,103.942653681681,1.35419392772417
kml_11,GEYLANG BAHRU MRT STATION,2,GEYLANG BAHRU,KALLANG,CENTRAL REGION,103.871555607327,1.32156169849672
kml_12,TAMPINES EAST MRT STATION,2,TAMPINES EAST,TAMPINES,EAST REGION,103.954540440772,1.35646076206548
kml_13,KAKI BUKIT MRT STATION,1,KAKI BUKIT,BEDOK,EAST REGION,103.909146276433,1.33492189023464
kml_14,BEDOK RESERVOIR MRT STATION,2,BEDOK RESERVOIR,BEDOK,EAST REGION,103.933487189666,1.33655490367272
kml_15,BENCOOLEN MRT STATION,3,BRAS BASAH,MUSEUM,CENTRAL REGION,103.84927170363,1.29769911792672
kml_16,BENCOOLEN MRT STATION,10,VICTORIA,ROCHOR,CENTRAL REGION,103.850843384277,1.29919519582314
kml_17,KAKI BUKIT MRT STATION,1,KAKI BUKIT,BEDOK,EAST REGION,103.909405098635,1.33531120598113
kml_18,TAMPINES WEST MRT STATION,3,TAMPINES WEST,TAMPINES,EAST REGION,103.9389485038,1.34499919773184
kml_19,JALAN BESAR MRT STATION,3,SUNGEI ROAD,ROCHOR,CENTRAL REGION,103.855296125118,1.304889894302
kml_20,BENDEMEER MRT STATION,8,KALLANG BAHRU,KALLANG,CENTRAL REGION,103.86307400627,1.31385250565917
kml_21,BEDOK NORTH MRT STATION,1,KAKI BUKIT,BEDOK,EAST REGION,103.917810525589,1.33442257691373
kml_22,UPPER CHANGI MRT STATION,4,SIMEI,TAMPINES,EAST REGION,103.961043080305,1.34084047423654
kml_23,GEYLANG BAHRU MRT STATION,2,GEYLANG BAHRU,KALLANG,CENTRAL REGION,103.871794271391,1.32110911620294
kml_24,TAMPINES MRT STATION,2,TAMPINES EAST,TAMPINES,EAST REGION,103.94367818213,1.35487057463721
