Block_No,Street_Name,Postal_Code,1_Room,2_Room,Application_Zone
116,Ho Ching Rd,610116,N,Y,Bukit Merah/Jurong
117,Ho Ching Rd,610117,N,Y,Bukit Merah/Jurong
118,Corporation Dr,610118,N,Y,Bukit Merah/Jurong
177,Boon Lay Dr,640177,Y,Y,Bukit Merah/Jurong
178,Boon Lay Dr,640178,Y,Y,Bukit Merah/Jurong
179,Boon Lay Dr,640179,Y,Y,Bukit Merah/Jurong
188,Boon Lay Dr,640188,Y,Y,Bukit Merah/Jurong
191,Boon Lay Dr,640191,Y,Y,Bukit Merah/Jurong
967A,Jurong West St 93,641967,Y,Y,Bukit Merah/Jurong
967B,Jurong West St 93,642967,Y,Y,Bukit Merah/Jurong
373,Jurong East St 32,600373,Y,Y,Bukit Merah/Jurong
374,Jurong East St 32,600374,Y,Y,Bukit Merah/Jurong
9,Teck Whye Lane,680009,N,Y,Bukit Merah/Jurong
165A,Teck Whye Cres,681165,Y,Y,Bukit Merah/Jurong
536,Choa Chu Kang St 51,680536,Y,Y,Bukit Merah/Jurong
537,Choa Chu Kang St 51,680537,Y,Y,Bukit Merah/Jurong
813A,Choa Chu Kang Ave 7,681813,Y,Y,Bukit Merah/Jurong
632A,Senja Rd,671632,Y,Y,Bukit Merah/Jurong
632B,Senja Rd,672632,Y,Y,Bukit Merah/Jurong
109,Bt Batok West Ave 6,650109,Y,Y,Bukit Merah/Jurong
210A,Bt Batok St 21,651210,Y,Y,Bukit Merah/Jurong
412,Bt Batok West Ave 4,650412,Y,Y,Bukit Merah/Jurong
435A,Bt Batok West Ave 5,651435,Y,Y,Bukit Merah/Jurong
447A,Bt Batok West Ave 9,651447,Y,Y,Bukit Merah/Jurong
344,Clementi Ave 5,120344,N,Y,Bukit Merah/Jurong
366,Clementi Ave 2,120366,Y,Y,Bukit Merah/Jurong
367,Clementi Ave 2,120367,Y,Y,Bukit Merah/Jurong
419,Clementi Ave 1,120419,Y,Y,Bukit Merah/Jurong
422,Clementi Ave 1,120422,Y,Y,Bukit Merah/Jurong
1,Holland Cl,271001,Y,N,Bukit Merah/Jurong
4,Dover Rd,130004,N,Y,Bukit Merah/Jurong
16,Ghim Moh Rd,270016,N,Y,Bukit Merah/Jurong
17,Ghim Moh Rd,270017,N,Y,Bukit Merah/Jurong
18,Ghim Moh Rd,270018,N,Y,Bukit Merah/Jurong
45,Stirling Rd,140045,Y,Y,Bukit Merah/Jurong
48,Stirling Rd,141048,Y,Y,Bukit Merah/Jurong
49,Stirling Rd,141049,Y,Y,Bukit Merah/Jurong
103,C'wealth Cres,140103,N,Y,Bukit Merah/Jurong
104,C'wealth Cres,140104,N,Y,Bukit Merah/Jurong
106,C'wealth Cres,140106,N,Y,Bukit Merah/Jurong
107,C'wealth Cres,140107,N,Y,Bukit Merah/Jurong
151,Mei Ling St,140151,Y,N,Bukit Merah/Jurong
155,Mei Ling St,140155,N,Y,Bukit Merah/Jurong
156,Mei Ling St,140156,N,Y,Bukit Merah/Jurong
1,Spooner Rd,168789,Y,N,Bukit Merah/Jurong
2,Jln Bt Ho Swee,162002,N,Y,Bukit Merah/Jurong
2,Spooner Rd,168790,N,Y,Bukit Merah/Jurong
3,Jln Bt Merah,150003,Y,N,Bukit Merah/Jurong
3,Telok Blangah Cres,090003,Y,N,Bukit Merah/Jurong
4,Telok Blangah Cres,090004,Y,N,Bukit Merah/Jurong
