X1,address,town,flat_type,lon,lat,Street
1,ADMIRALTY DR  block  353A,SEMBAWANG,4 ROOM,103.8189461,1.4506748,ADMIRALTY DR
2,ADMIRALTY DR  block  353B,SEMBAWANG,5 ROOM,103.8193846,1.4502191,ADMIRALTY DR
3,ADMIRALTY DR  block  353C,SEMBAWANG,4 ROOM,103.8193166,1.449724,ADMIRALTY DR
4,ADMIRALTY DR  block  354A,SEMBAWANG,5 ROOM,103.8188412,1.4501124,ADMIRALTY DR
5,ADMIRALTY DR  block  354B,SEMBAWANG,5 ROOM,103.81866,1.4503705,ADMIRALTY DR
6,ADMIRALTY DR  block  354C,SEMBAWANG,5 ROOM,103.8182299,1.4506118,ADMIRALTY DR
7,ADMIRALTY DR  block  354D,SEMBAWANG,EXECUTIVE,103.8188185,1.4509385,ADMIRALTY DR
8,ADMIRALTY DR  block  356A,SEMBAWANG,4 ROOM,103.8169619,1.449445,ADMIRALTY DR
9,ADMIRALTY DR  block  356B,SEMBAWANG,5 ROOM,103.8174148,1.449222,ADMIRALTY DR
10,ADMIRALTY DR  block  356C,SEMBAWANG,EXECUTIVE,103.8178902,1.4492741,ADMIRALTY DR
11,ADMIRALTY DR  block  357,SEMBAWANG,4 ROOM,103.8164186,1.4499623,ADMIRALTY DR
12,ADMIRALTY DR  block  357A,SEMBAWANG,5 ROOM,103.8170299,1.4499768,ADMIRALTY DR
13,ADMIRALTY DR  block  357B,SEMBAWANG,4 ROOM,103.8173605,1.4504713,ADMIRALTY DR
14,ADMIRALTY DR  block  357C,SEMBAWANG,4 ROOM,103.8175733,1.4497532,ADMIRALTY DR
15,ADMIRALTY DR  block  359,SEMBAWANG,4 ROOM,103.8160563,1.4496709,ADMIRALTY DR
16,ADMIRALTY DR  block  359A,SEMBAWANG,5 ROOM,103.8155808,1.4496188,ADMIRALTY DR
17,ADMIRALTY DR  block  359B,SEMBAWANG,5 ROOM,103.815128,1.4494014,ADMIRALTY DR
18,ADMIRALTY DR  block  359C,SEMBAWANG,5 ROOM,103.8146299,1.449331,ADMIRALTY DR
19,ADMIRALTY DR  block  360A,SEMBAWANG,4 ROOM,103.8158978,1.4492497,ADMIRALTY DR
20,ADMIRALTY DR  block  360B,SEMBAWANG,EXECUTIVE,103.8151733,1.4487037,ADMIRALTY DR
21,ADMIRALTY DR  block  360C,SEMBAWANG,4 ROOM,103.8148111,1.4485591,ADMIRALTY DR
22,ADMIRALTY DR  block  467,SEMBAWANG,4 ROOM,103.8144941,1.452342,ADMIRALTY DR
23,ADMIRALTY DR  block  467A,SEMBAWANG,4 ROOM,103.8137299,1.452823,ADMIRALTY DR
24,ADMIRALTY DR  block  467B,SEMBAWANG,4 ROOM,103.8136337,1.4512093,ADMIRALTY DR
25,ADMIRALTY DR  block  468A,SEMBAWANG,5 ROOM,103.8138828,1.4506388,ADMIRALTY DR
26,ADMIRALTY DR  block  468B,SEMBAWANG,EXECUTIVE,103.8142044,1.4500624,ADMIRALTY DR
27,ADMIRALTY DR  block  468C,SEMBAWANG,5 ROOM,103.8148111,1.4502476,ADMIRALTY DR
28,ADMIRALTY DR  block  468D,SEMBAWANG,EXECUTIVE,103.8145167,1.4508551,ADMIRALTY DR
29,ADMIRALTY DR  block  469,SEMBAWANG,4 ROOM,103.8139281,1.4487664,ADMIRALTY DR
30,ADMIRALTY DR  block  469A,SEMBAWANG,4 ROOM,103.81343,1.4499075,ADMIRALTY DR
31,ADMIRALTY DR  block  469B,SEMBAWANG,5 ROOM,103.8133847,1.4484762,ADMIRALTY DR
32,ADMIRALTY LINK  block  401,SEMBAWANG,5 ROOM,103.8156035,1.4542991,ADMIRALTY LINK
33,ADMIRALTY LINK  block  402,SEMBAWANG,4 ROOM,103.8155808,1.4538036,ADMIRALTY LINK
34,ADMIRALTY LINK  block  403,SEMBAWANG,4 ROOM,103.8161695,1.4539101,ADMIRALTY LINK
35,ADMIRALTY LINK  block  404,SEMBAWANG,5 ROOM,103.8167129,1.4536497,ADMIRALTY LINK
36,ADMIRALTY LINK  block  405,SEMBAWANG,4 ROOM,103.8160337,1.4533235,ADMIRALTY LINK
37,ADMIRALTY LINK  block  482,SEMBAWANG,4 ROOM,103.8154224,1.4553281,ADMIRALTY LINK
38,ADMIRALTY LINK  block  483,SEMBAWANG,5 ROOM,103.8154224,1.4560624,ADMIRALTY LINK
39,ADMIRALTY LINK  block  484,SEMBAWANG,5 ROOM,103.8152412,1.4571649,ADMIRALTY LINK
40,ADMIRALTY LINK  block  485,SEMBAWANG,4 ROOM,103.8157312,1.456566,ADMIRALTY LINK
41,ADMIRALTY LINK  block  486,SEMBAWANG,5 ROOM,103.816047,1.4561147,ADMIRALTY LINK
42,ADMIRALTY LINK  block  487,SEMBAWANG,4 ROOM,103.815988,1.4556371,ADMIRALTY LINK
43,ADMIRALTY LINK  block  488,SEMBAWANG,4 ROOM,103.816559,1.454964,ADMIRALTY LINK
44,ADMIRALTY LINK  block  489,SEMBAWANG,4 ROOM,103.81693,1.454951,ADMIRALTY LINK
45,ADMIRALTY LINK  block  490,SEMBAWANG,4 ROOM,103.817122,1.455059,ADMIRALTY LINK
46,ADMIRALTY LINK  block  491,SEMBAWANG,5 ROOM,103.8175959,1.4561222,ADMIRALTY LINK
47,ADMIRALTY LINK  block  492,SEMBAWANG,4 ROOM,103.8170525,1.4564927,ADMIRALTY LINK
48,ADMIRALTY LINK  block  493,SEMBAWANG,5 ROOM,103.8165091,1.4564961,ADMIRALTY LINK
49,AH HOOD RD  block  101,KALLANG/WHAMPOA,5 ROOM,103.844521,1.327505,AH HOOD RD
50,AH HOOD RD  block  103,KALLANG/WHAMPOA,5 ROOM,103.8447321,1.3279965,AH HOOD RD
51,ALEXANDRA RD  block  137,BUKIT MERAH,3 ROOM,103.80255,1.28724,ALEXANDRA RD
52,ALJUNIED CRES  block  101,GEYLANG,4 ROOM,103.8834996,1.3209727,ALJUNIED CRES
53,ALJUNIED CRES  block  102,GEYLANG,4 ROOM,103.8825867,1.3205361,ALJUNIED CRES
54,ALJUNIED CRES  block  104,GEYLANG,4 ROOM,103.88277,1.3200997,ALJUNIED CRES
55,ALJUNIED CRES  block  105,GEYLANG,5 ROOM,103.8827712,1.3195167,ALJUNIED CRES
56,ALJUNIED CRES  block  106,GEYLANG,3 ROOM,103.8829083,1.319113,ALJUNIED CRES
57,ALJUNIED CRES  block  107,GEYLANG,4 ROOM,103.8842226,1.3189217,ALJUNIED CRES
58,ALJUNIED CRES  block  108,GEYLANG,3 ROOM,103.8852646,1.319098,ALJUNIED CRES
59,ALJUNIED CRES  block  109,GEYLANG,2 ROOM,103.8844492,1.3194688,ALJUNIED CRES
60,ALJUNIED CRES  block  110,GEYLANG,5 ROOM,103.8844051,1.3199444,ALJUNIED CRES
61,ALJUNIED CRES  block  111,GEYLANG,3 ROOM,103.884273,1.3204205,ALJUNIED CRES
62,ALJUNIED CRES  block  112,GEYLANG,3 ROOM,103.8851348,1.3203815,ALJUNIED CRES
63,ALJUNIED CRES  block  95,GEYLANG,3 ROOM,103.8863806,1.3213403,ALJUNIED CRES
64,ALJUNIED CRES  block  96,GEYLANG,2 ROOM,103.8853555,1.3216613,ALJUNIED CRES
65,ALJUNIED CRES  block  97,GEYLANG,3 ROOM,103.8856755,1.3212574,ALJUNIED CRES
66,ALJUNIED CRES  block  98,GEYLANG,3 ROOM,103.8856777,1.3208159,ALJUNIED CRES
67,ALJUNIED CRES  block  99,GEYLANG,3 ROOM,103.8844057,1.3214068,ALJUNIED CRES
68,ALJUNIED RD  block  125,GEYLANG,5 ROOM,103.8817311,1.3233639,ALJUNIED RD
69,ALJUNIED RD  block  126,GEYLANG,5 ROOM,103.8822028,1.3238242,ALJUNIED RD
70,ANCHORVALE DR  block  301A,SENGKANG,4 ROOM,103.8916076,1.3896032,ANCHORVALE DR
71,ANCHORVALE DR  block  301B,SENGKANG,5 ROOM,103.891198,1.3895793,ANCHORVALE DR
72,ANCHORVALE DR  block  301C,SENGKANG,5 ROOM,103.8909448,1.3887064,ANCHORVALE DR
73,ANCHORVALE DR  block  301D,SENGKANG,5 ROOM,103.8914209,1.38837,ANCHORVALE DR
74,ANCHORVALE DR  block  319A,SENGKANG,4 ROOM,103.8899481,1.3907383,ANCHORVALE DR
75,ANCHORVALE DR  block  319B,SENGKANG,4 ROOM,103.8902484,1.3915634,ANCHORVALE DR
76,ANCHORVALE DR  block  319C,SENGKANG,5 ROOM,103.890438,1.390292,ANCHORVALE DR
77,ANCHORVALE DR  block  320A,SENGKANG,4 ROOM,103.8911319,1.3902206,ANCHORVALE DR
78,ANCHORVALE DR  block  320B,SENGKANG,4 ROOM,103.8907188,1.3912261,ANCHORVALE DR
79,ANCHORVALE DR  block  320C,SENGKANG,EXECUTIVE,103.8913358,1.3911172,ANCHORVALE DR
80,ANCHORVALE DR  block  320D,SENGKANG,4 ROOM,103.891812,1.390908,ANCHORVALE DR
81,ANCHORVALE DR  block  321A,SENGKANG,4 ROOM,103.89154,1.390038,ANCHORVALE DR
82,ANCHORVALE DR  block  321B,SENGKANG,4 ROOM,103.8923568,1.3908925,ANCHORVALE DR
83,ANCHORVALE DR  block  321C,SENGKANG,4 ROOM,103.8918072,1.3905988,ANCHORVALE DR
84,ANCHORVALE DR  block  322A,SENGKANG,4 ROOM,103.892407,1.39146,ANCHORVALE DR
85,ANCHORVALE DR  block  322B,SENGKANG,5 ROOM,103.8918705,1.3914795,ANCHORVALE DR
86,ANCHORVALE DR  block  322C,SENGKANG,5 ROOM,103.8919222,1.391838,ANCHORVALE DR
87,ANCHORVALE LANE  block  311A,SENGKANG,4 ROOM,103.884141,1.39098,ANCHORVALE LANE
88,ANCHORVALE LANE  block  311B,SENGKANG,5 ROOM,103.88439,1.391837,ANCHORVALE LANE
89,ANCHORVALE LANE  block  311C,SENGKANG,4 ROOM,103.88439,1.391837,ANCHORVALE LANE
90,ANCHORVALE LANE  block  311D,SENGKANG,5 ROOM,103.88439,1.391837,ANCHORVALE LANE
91,ANCHORVALE LANE  block  312A,SENGKANG,5 ROOM,103.8851789,1.391746,ANCHORVALE LANE
92,ANCHORVALE LANE  block  312B,SENGKANG,5 ROOM,103.885487,1.391725,ANCHORVALE LANE
93,ANCHORVALE LINK  block  302A,SENGKANG,5 ROOM,103.891225,1.387559,ANCHORVALE LINK
94,ANCHORVALE LINK  block  302B,SENGKANG,3 ROOM,103.89069,1.38786,ANCHORVALE LINK
95,ANCHORVALE LINK  block  302C,SENGKANG,EXECUTIVE,103.8902351,1.3880786,ANCHORVALE LINK
96,ANCHORVALE LINK  block  302D,SENGKANG,EXECUTIVE,103.889734,1.388203,ANCHORVALE LINK
97,ANCHORVALE LINK  block  303A,SENGKANG,4 ROOM,103.890942,1.387011,ANCHORVALE LINK
98,ANCHORVALE LINK  block  303B,SENGKANG,4 ROOM,103.889867,1.387423,ANCHORVALE LINK
99,ANCHORVALE LINK  block  303C,SENGKANG,4 ROOM,103.890021,1.387692,ANCHORVALE LINK
100,ANCHORVALE LINK  block  304A,SENGKANG,5 ROOM,103.888914,1.387881,ANCHORVALE LINK
101,ANCHORVALE LINK  block  304B,SENGKANG,5 ROOM,103.889256,1.388576,ANCHORVALE LINK
102,ANCHORVALE LINK  block  305A,SENGKANG,5 ROOM,103.8885556,1.3885328,ANCHORVALE LINK
103,ANCHORVALE LINK  block  305B,SENGKANG,4 ROOM,103.888609,1.389101,ANCHORVALE LINK
104,ANCHORVALE LINK  block  305C,SENGKANG,4 ROOM,103.888002,1.389079,ANCHORVALE LINK
105,ANCHORVALE LINK  block  305D,SENGKANG,5 ROOM,103.887398,1.388851,ANCHORVALE LINK
106,ANCHORVALE LINK  block  306A,SENGKANG,4 ROOM,103.8886113,1.390388,ANCHORVALE LINK
107,ANCHORVALE LINK  block  306B,SENGKANG,EXECUTIVE,103.888609,1.389553,ANCHORVALE LINK
108,ANCHORVALE LINK  block  306C,SENGKANG,4 ROOM,103.8880772,1.3899826,ANCHORVALE LINK
109,ANCHORVALE LINK  block  314A,SENGKANG,5 ROOM,103.88928,1.390977,ANCHORVALE LINK
110,ANCHORVALE LINK  block  314B,SENGKANG,5 ROOM,103.8885601,1.3911551,ANCHORVALE LINK
111,ANCHORVALE LINK  block  314C,SENGKANG,5 ROOM,103.888853,1.3916599,ANCHORVALE LINK
112,ANCHORVALE LINK  block  314D,SENGKANG,EXECUTIVE,103.889396,1.391575,ANCHORVALE LINK
113,ANCHORVALE LINK  block  316A,SENGKANG,5 ROOM,103.889503,1.392474,ANCHORVALE LINK
114,ANCHORVALE LINK  block  316B,SENGKANG,EXECUTIVE,103.888944,1.393008,ANCHORVALE LINK
115,ANCHORVALE LINK  block  316C,SENGKANG,EXECUTIVE,103.8883422,1.3930148,ANCHORVALE LINK
116,ANCHORVALE LINK  block  318A,SENGKANG,4 ROOM,103.8896029,1.393729,ANCHORVALE LINK
117,ANCHORVALE LINK  block  318B,SENGKANG,5 ROOM,103.8892884,1.3939733,ANCHORVALE LINK
118,ANCHORVALE LINK  block  318C,SENGKANG,5 ROOM,103.88914,1.393372,ANCHORVALE LINK
119,ANCHORVALE LINK  block  318D,SENGKANG,5 ROOM,103.889615,1.393038,ANCHORVALE LINK
120,ANCHORVALE RD  block  307A,SENGKANG,5 ROOM,103.887916,1.389375,ANCHORVALE RD
121,ANCHORVALE RD  block  307B,SENGKANG,EXECUTIVE,103.887468,1.389574,ANCHORVALE RD
122,ANCHORVALE RD  block  307C,SENGKANG,4 ROOM,103.8870544,1.3899886,ANCHORVALE RD
123,ANCHORVALE RD  block  307D,SENGKANG,5 ROOM,103.8861709,1.3904153,ANCHORVALE RD
124,ANCHORVALE RD  block  308A,SENGKANG,5 ROOM,103.8859899,1.3899757,ANCHORVALE RD
125,ANCHORVALE RD  block  308B,SENGKANG,4 ROOM,103.886585,1.38993,ANCHORVALE RD
126,ANCHORVALE RD  block  308C,SENGKANG,4 ROOM,103.8863974,1.3896444,ANCHORVALE RD
127,ANCHORVALE RD  block  309A,SENGKANG,5 ROOM,103.886047,1.391709,ANCHORVALE RD
128,ANCHORVALE RD  block  309B,SENGKANG,5 ROOM,103.8858527,1.3908493,ANCHORVALE RD
129,ANCHORVALE RD  block  309C,SENGKANG,4 ROOM,103.8858527,1.3908493,ANCHORVALE RD
130,ANCHORVALE RD  block  309D,SENGKANG,4 ROOM,103.8857982,1.3907626,ANCHORVALE RD
131,ANCHORVALE RD  block  310A,SENGKANG,EXECUTIVE,103.88502,1.390935,ANCHORVALE RD
132,ANCHORVALE RD  block  310B,SENGKANG,5 ROOM,103.884715,1.390936,ANCHORVALE RD
133,ANCHORVALE RD  block  313A,SENGKANG,4 ROOM,103.8875181,1.3915621,ANCHORVALE RD
134,ANCHORVALE RD  block  313B,SENGKANG,5 ROOM,103.8880027,1.3913689,ANCHORVALE RD
135,ANCHORVALE RD  block  313C,SENGKANG,5 ROOM,103.8880837,1.3919558,ANCHORVALE RD
136,ANCHORVALE RD  block  313D,SENGKANG,4 ROOM,103.887708,1.392022,ANCHORVALE RD
137,ANCHORVALE RD  block  315A,SENGKANG,5 ROOM,103.8890373,1.3919653,ANCHORVALE RD
138,ANCHORVALE RD  block  315B,SENGKANG,5 ROOM,103.8883146,1.3921839,ANCHORVALE RD
139,ANCHORVALE RD  block  315C,SENGKANG,EXECUTIVE,103.8878908,1.3924077,ANCHORVALE RD
140,ANCHORVALE RD  block  317A,SENGKANG,5 ROOM,103.8876954,1.39392,ANCHORVALE RD
141,ANCHORVALE RD  block  317B,SENGKANG,4 ROOM,103.8887533,1.393881,ANCHORVALE RD
142,ANCHORVALE RD  block  317C,SENGKANG,5 ROOM,103.8883806,1.3934847,ANCHORVALE RD
143,ANCHORVALE RD  block  317D,SENGKANG,EXECUTIVE,103.8876895,1.3934574,ANCHORVALE RD
144,ANG MO KIO AVE 1  block  205,ANG MO KIO,4 ROOM,103.8435,1.3669281,ANG MO KIO AVE 1
145,ANG MO KIO AVE 1  block  207,ANG MO KIO,4 ROOM,103.8429318,1.3659321,ANG MO KIO AVE 1
146,ANG MO KIO AVE 1  block  208,ANG MO KIO,4 ROOM,103.8426847,1.3654677,ANG MO KIO AVE 1
147,ANG MO KIO AVE 1  block  215,ANG MO KIO,3 ROOM,103.8415977,1.3664997,ANG MO KIO AVE 1
148,ANG MO KIO AVE 1  block  216,ANG MO KIO,3 ROOM,103.8414166,1.3662078,ANG MO KIO AVE 1
149,ANG MO KIO AVE 1  block  218,ANG MO KIO,3 ROOM,103.8415977,1.3651811,ANG MO KIO AVE 1
150,ANG MO KIO AVE 1  block  219,ANG MO KIO,4 ROOM,103.8405108,1.3659933,ANG MO KIO AVE 1
151,ANG MO KIO AVE 1  block  220,ANG MO KIO,4 ROOM,103.8404202,1.3656276,ANG MO KIO AVE 1
152,ANG MO KIO AVE 1  block  221,ANG MO KIO,4 ROOM,103.8392427,1.3664403,ANG MO KIO AVE 1
153,ANG MO KIO AVE 1  block  222,ANG MO KIO,4 ROOM,103.8392427,1.366074,ANG MO KIO AVE 1
154,ANG MO KIO AVE 1  block  223,ANG MO KIO,3 ROOM,103.8380651,1.3660809,ANG MO KIO AVE 1
155,ANG MO KIO AVE 1  block  225,ANG MO KIO,3 ROOM,103.8380651,1.3674729,ANG MO KIO AVE 1
156,ANG MO KIO AVE 1  block  226,ANG MO KIO,4 ROOM,103.8383369,1.3677643,ANG MO KIO AVE 1
157,ANG MO KIO AVE 1  block  226B,ANG MO KIO,3 ROOM,103.8395759,1.367338,ANG MO KIO AVE 1
158,ANG MO KIO AVE 1  block  226E,ANG MO KIO,3 ROOM,103.8397661,1.3665629,ANG MO KIO AVE 1
159,ANG MO KIO AVE 1  block  303,ANG MO KIO,4 ROOM,103.845221,1.3667715,ANG MO KIO AVE 1
160,ANG MO KIO AVE 1  block  304,ANG MO KIO,4 ROOM,103.8450172,1.3663881,ANG MO KIO AVE 1
161,ANG MO KIO AVE 1  block  305,ANG MO KIO,5 ROOM,103.8460363,1.3661074,ANG MO KIO AVE 1
162,ANG MO KIO AVE 1  block  306,ANG MO KIO,5 ROOM,103.8457645,1.3658159,ANG MO KIO AVE 1
163,ANG MO KIO AVE 1  block  307,ANG MO KIO,3 ROOM,103.845157,1.365584,ANG MO KIO AVE 1
164,ANG MO KIO AVE 1  block  307A,ANG MO KIO,4 ROOM,103.844469,1.365971,ANG MO KIO AVE 1
165,ANG MO KIO AVE 1  block  307B,ANG MO KIO,4 ROOM,103.8783863,1.3174127,ANG MO KIO AVE 1
166,ANG MO KIO AVE 1  block  307C,ANG MO KIO,3 ROOM,103.845157,1.365584,ANG MO KIO AVE 1
167,ANG MO KIO AVE 1  block  308,ANG MO KIO,3 ROOM,103.8443393,1.3643085,ANG MO KIO AVE 1
168,ANG MO KIO AVE 1  block  308A,ANG MO KIO,3 ROOM,103.8440661,1.3655146,ANG MO KIO AVE 1
169,ANG MO KIO AVE 1  block  308B,ANG MO KIO,4 ROOM,103.8444284,1.3652927,ANG MO KIO AVE 1
170,ANG MO KIO AVE 1  block  309,ANG MO KIO,1 ROOM,103.8441101,1.3643288,ANG MO KIO AVE 1
171,ANG MO KIO AVE 1  block  310A,ANG MO KIO,5 ROOM,103.8439222,1.3648148,ANG MO KIO AVE 1
172,ANG MO KIO AVE 1  block  310B,ANG MO KIO,4 ROOM,103.8442059,1.3646976,ANG MO KIO AVE 1
173,ANG MO KIO AVE 1  block  310C,ANG MO KIO,3 ROOM,103.844869,1.3646259,ANG MO KIO AVE 1
174,ANG MO KIO AVE 1  block  316,ANG MO KIO,3 ROOM,103.8466504,1.3646767,ANG MO KIO AVE 1
175,ANG MO KIO AVE 1  block  319,ANG MO KIO,3 ROOM,103.8473951,1.3650738,ANG MO KIO AVE 1
176,ANG MO KIO AVE 1  block  320,ANG MO KIO,3 ROOM,103.8483915,1.3655808,ANG MO KIO AVE 1
177,ANG MO KIO AVE 1  block  321,ANG MO KIO,3 ROOM,103.8484821,1.3651407,ANG MO KIO AVE 1
178,ANG MO KIO AVE 1  block  330,ANG MO KIO,3 ROOM,103.8510185,1.3623423,ANG MO KIO AVE 1
179,ANG MO KIO AVE 1  block  331,ANG MO KIO,3 ROOM,103.8508147,1.3619223,ANG MO KIO AVE 1
180,ANG MO KIO AVE 1  block  332,ANG MO KIO,3 ROOM,103.8519244,1.3616045,ANG MO KIO AVE 1
181,ANG MO KIO AVE 1  block  333,ANG MO KIO,3 ROOM,103.8516526,1.3613131,ANG MO KIO AVE 1
182,ANG MO KIO AVE 1  block  334,ANG MO KIO,4 ROOM,103.8508826,1.3637714,ANG MO KIO AVE 1
183,ANG MO KIO AVE 1  block  335,ANG MO KIO,4 ROOM,103.8507467,1.3631496,ANG MO KIO AVE 1
184,ANG MO KIO AVE 1  block  336,ANG MO KIO,4 ROOM,103.8518338,1.3635095,ANG MO KIO AVE 1
185,ANG MO KIO AVE 1  block  337,ANG MO KIO,4 ROOM,103.8516073,1.3631812,ANG MO KIO AVE 1
186,ANG MO KIO AVE 1  block  338,ANG MO KIO,3 ROOM,103.8487619,1.363639,ANG MO KIO AVE 1
187,ANG MO KIO AVE 1  block  340,ANG MO KIO,3 ROOM,103.8494785,1.3644756,ANG MO KIO AVE 1
188,ANG MO KIO AVE 10  block  401,ANG MO KIO,5 ROOM,103.8553668,1.3610716,ANG MO KIO AVE 10
189,ANG MO KIO AVE 10  block  402,ANG MO KIO,5 ROOM,103.8552309,1.3615485,ANG MO KIO AVE 10
190,ANG MO KIO AVE 10  block  403,ANG MO KIO,3 ROOM,103.8545514,1.3613694,ANG MO KIO AVE 10
191,ANG MO KIO AVE 10  block  404,ANG MO KIO,3 ROOM,103.854642,1.3617351,ANG MO KIO AVE 10
192,ANG MO KIO AVE 10  block  405,ANG MO KIO,3 ROOM,103.8536003,1.3617045,ANG MO KIO AVE 10
193,ANG MO KIO AVE 10  block  406,ANG MO KIO,2 ROOM,103.8538267,1.3620328,ANG MO KIO AVE 10
194,ANG MO KIO AVE 10  block  407,ANG MO KIO,3 ROOM,103.8554068,1.3619487,ANG MO KIO AVE 10
195,ANG MO KIO AVE 10  block  408,ANG MO KIO,3 ROOM,103.854642,1.3625408,ANG MO KIO AVE 10
196,ANG MO KIO AVE 10  block  411,ANG MO KIO,4 ROOM,103.855095,1.3634903,ANG MO KIO AVE 10
197,ANG MO KIO AVE 10  block  412,ANG MO KIO,4 ROOM,103.8552762,1.3639288,ANG MO KIO AVE 10
198,ANG MO KIO AVE 10  block  413,ANG MO KIO,4 ROOM,103.8536456,1.3635721,ANG MO KIO AVE 10
199,ANG MO KIO AVE 10  block  414,ANG MO KIO,4 ROOM,103.8536456,1.3640848,ANG MO KIO AVE 10
200,ANG MO KIO AVE 10  block  415,ANG MO KIO,4 ROOM,103.8536456,1.3645244,ANG MO KIO AVE 10
201,ANG MO KIO AVE 10  block  416,ANG MO KIO,3 ROOM,103.855095,1.3644426,ANG MO KIO AVE 10
202,ANG MO KIO AVE 10  block  417,ANG MO KIO,3 ROOM,103.8551856,1.3650281,ANG MO KIO AVE 10
203,ANG MO KIO AVE 10  block  418,ANG MO KIO,3 ROOM,103.8540079,1.365035,ANG MO KIO AVE 10
204,ANG MO KIO AVE 10  block  419,ANG MO KIO,3 ROOM,103.8541891,1.3654002,ANG MO KIO AVE 10
205,ANG MO KIO AVE 10  block  421,ANG MO KIO,3 ROOM,103.8528303,1.3653349,ANG MO KIO AVE 10
206,ANG MO KIO AVE 10  block  431,ANG MO KIO,5 ROOM,103.8529208,1.3682646,ANG MO KIO AVE 10
207,ANG MO KIO AVE 10  block  432,ANG MO KIO,3 ROOM,103.853555,1.3683341,ANG MO KIO AVE 10
208,ANG MO KIO AVE 10  block  433,ANG MO KIO,3 ROOM,103.8544609,1.3680358,ANG MO KIO AVE 10
209,ANG MO KIO AVE 10  block  434,ANG MO KIO,3 ROOM,103.8532832,1.3679694,ANG MO KIO AVE 10
210,ANG MO KIO AVE 10  block  435,ANG MO KIO,3 ROOM,103.8541891,1.3677443,ANG MO KIO AVE 10
211,ANG MO KIO AVE 10  block  436,ANG MO KIO,4 ROOM,103.8539173,1.3673797,ANG MO KIO AVE 10
212,ANG MO KIO AVE 10  block  437,ANG MO KIO,5 ROOM,103.8530567,1.3672748,ANG MO KIO AVE 10
213,ANG MO KIO AVE 10  block  438,ANG MO KIO,4 ROOM,103.8538267,1.3670139,ANG MO KIO AVE 10
214,ANG MO KIO AVE 10  block  439,ANG MO KIO,5 ROOM,103.8532832,1.3663578,ANG MO KIO AVE 10
215,ANG MO KIO AVE 10  block  440,ANG MO KIO,3 ROOM,103.8540985,1.3664995,ANG MO KIO AVE 10
216,ANG MO KIO AVE 10  block  441,ANG MO KIO,3 ROOM,103.8540985,1.36606,ANG MO KIO AVE 10
217,ANG MO KIO AVE 10  block  442,ANG MO KIO,3 ROOM,103.8551856,1.3656873,ANG MO KIO AVE 10
218,ANG MO KIO AVE 10  block  443,ANG MO KIO,3 ROOM,103.8553623,1.3660482,ANG MO KIO AVE 10
219,ANG MO KIO AVE 10  block  444,ANG MO KIO,3 ROOM,103.8555479,1.3666375,ANG MO KIO AVE 10
220,ANG MO KIO AVE 10  block  445,ANG MO KIO,3 ROOM,103.8556385,1.3670033,ANG MO KIO AVE 10
221,ANG MO KIO AVE 10  block  446,ANG MO KIO,3 ROOM,103.8551856,1.3678117,ANG MO KIO AVE 10
222,ANG MO KIO AVE 10  block  447,ANG MO KIO,3 ROOM,103.8559103,1.3675144,ANG MO KIO AVE 10
223,ANG MO KIO AVE 10  block  448,ANG MO KIO,3 ROOM,103.8563633,1.3674385,ANG MO KIO AVE 10
224,ANG MO KIO AVE 10  block  449,ANG MO KIO,3 ROOM,103.8559103,1.3678807,ANG MO KIO AVE 10
225,ANG MO KIO AVE 10  block  450,ANG MO KIO,3 ROOM,103.8555479,1.3684689,ANG MO KIO AVE 10
226,ANG MO KIO AVE 10  block  451,ANG MO KIO,3 ROOM,103.8556385,1.3688347,ANG MO KIO AVE 10
227,ANG MO KIO AVE 10  block  452,ANG MO KIO,3 ROOM,103.8561218,1.3689024,ANG MO KIO AVE 10
228,ANG MO KIO AVE 10  block  453,ANG MO KIO,3 ROOM,103.8560114,1.368633,ANG MO KIO AVE 10
229,ANG MO KIO AVE 10  block  454,ANG MO KIO,3 ROOM,103.8568205,1.3681689,ANG MO KIO AVE 10
230,ANG MO KIO AVE 10  block  455,ANG MO KIO,3 ROOM,103.8572709,1.3686312,ANG MO KIO AVE 10
231,ANG MO KIO AVE 10  block  456,ANG MO KIO,3 ROOM,103.8585374,1.367206,ANG MO KIO AVE 10
232,ANG MO KIO AVE 10  block  457,ANG MO KIO,3 ROOM,103.8588092,1.3657393,ANG MO KIO AVE 10
233,ANG MO KIO AVE 10  block  458,ANG MO KIO,5 ROOM,103.8595793,1.3666504,ANG MO KIO AVE 10
234,ANG MO KIO AVE 10  block  459,ANG MO KIO,5 ROOM,103.8593981,1.367091,ANG MO KIO AVE 10
235,ANG MO KIO AVE 10  block  460,ANG MO KIO,5 ROOM,103.8590357,1.3663606,ANG MO KIO AVE 10
236,ANG MO KIO AVE 10  block  461,ANG MO KIO,3 ROOM,103.8572692,1.3675797,ANG MO KIO AVE 10
237,ANG MO KIO AVE 10  block  462,ANG MO KIO,3 ROOM,103.8579939,1.3669161,ANG MO KIO AVE 10
238,ANG MO KIO AVE 10  block  463,ANG MO KIO,3 ROOM,103.8574503,1.3669193,ANG MO KIO AVE 10
