X1,Street,lon,lat,group_id,min_hawker,SUBZONE_NO,SUBZONE_N,REGION_N
1,ADMIRALTY DR,103.816133509677,1.45001995806452,1,702.910778621504,3,SEMBAWANG CENTRAL,NORTH REGION
2,ADMIRALTY LINK,103.816218888235,1.45529083529412,2,961.330424585091,3,SEMBAWANG CENTRAL,NORTH REGION
3,AH HOOD RD,103.84462655,1.32775075,3,1112.72005875528,3,SEMBAWANG CENTRAL,NORTH REGION
4,ALEXANDRA RD,103.80255,1.28724,4,239.656957821639,3,SEMBAWANG CENTRAL,NORTH REGION
5,ALJUNIED CRES,103.88436125625,1.320309675,5,298.144134612375,3,SEMBAWANG CENTRAL,NORTH REGION
6,ALJUNIED RD,103.88196695,1.32359405,6,387.891524742689,3,SEMBAWANG CENTRAL,NORTH REGION
7,ANCHORVALE DR,103.891335764706,1.39050772352941,7,775.979724681991,3,SEMBAWANG CENTRAL,NORTH REGION
8,ANCHORVALE LANE,103.884662816667,1.39166033333333,8,720.321357108514,3,SEMBAWANG CENTRAL,NORTH REGION
9,ANCHORVALE LINK,103.889232251852,1.39013878148148,9,753.73378966729,3,SEMBAWANG CENTRAL,NORTH REGION
10,ANCHORVALE RD,103.887080883333,1.391381375,10,631.556990961838,3,SEMBAWANG CENTRAL,NORTH REGION
11,ANG MO KIO AVE 1,103.845721440909,1.36404928863636,11,281.936092060598,3,SEMBAWANG CENTRAL,NORTH REGION
12,ANG MO KIO AVE 10,103.855945617708,1.36810603854167,12,47.5470293376291,3,SEMBAWANG CENTRAL,NORTH REGION
13,ANG MO KIO AVE 2,103.83213975,1.3683887,13,563.741175846727,3,SEMBAWANG CENTRAL,NORTH REGION
14,ANG MO KIO AVE 3,103.846758258108,1.36889565405405,14,366.061772576878,3,SEMBAWANG CENTRAL,NORTH REGION
15,ANG MO KIO AVE 4,103.837798408,1.375178262,15,175.028761423184,3,SEMBAWANG CENTRAL,NORTH REGION
16,ANG MO KIO AVE 5,103.843449521212,1.37676938484848,16,534.532898927914,3,SEMBAWANG CENTRAL,NORTH REGION
17,ANG MO KIO AVE 6,103.844773228571,1.37537420952381,17,401.431475600975,3,SEMBAWANG CENTRAL,NORTH REGION
18,ANG MO KIO AVE 8,103.851080805882,1.37021442941176,18,472.427164153555,3,SEMBAWANG CENTRAL,NORTH REGION
19,ANG MO KIO AVE 9,103.8405506,1.38241795,19,154.735850399673,3,SEMBAWANG CENTRAL,NORTH REGION
20,ANG MO KIO ST 11,103.8388072,1.3717084,20,310.797646309576,3,SEMBAWANG CENTRAL,NORTH REGION
21,ANG MO KIO ST 21,103.83435145,1.3699124,21,643.671095559555,3,SEMBAWANG CENTRAL,NORTH REGION
22,ANG MO KIO ST 31,103.84670182,1.3647739,22,187.923198364468,4,SEMBAWANG NORTH,NORTH REGION
23,ANG MO KIO ST 32,103.85091158,1.36411496,23,295.734632326463,4,SEMBAWANG NORTH,NORTH REGION
24,ANG MO KIO ST 52,103.851921775,1.3720417625,24,296.166922493845,4,SEMBAWANG NORTH,NORTH REGION
25,BAIN ST,103.8536962,1.2967888,25,469.333728818429,4,SEMBAWANG NORTH,NORTH REGION
26,BALAM RD,103.886870023077,1.33037049230769,26,280.232455011736,4,SEMBAWANG NORTH,NORTH REGION
27,BANGKIT RD,103.774196716667,1.37880212222222,27,231.833266937609,4,SEMBAWANG NORTH,NORTH REGION
28,BEACH RD,103.799,1.3033,28,316.95905238799,4,SEMBAWANG NORTH,NORTH REGION
29,BEDOK CTRL,103.93390452,1.32524587,29,214.76396262048,4,SEMBAWANG NORTH,NORTH REGION
30,BEDOK NTH AVE 1,103.927260341667,1.3308322,30,288.640646401841,4,SEMBAWANG NORTH,NORTH REGION
31,BEDOK NTH AVE 2,103.930403866667,1.33007509444444,31,351.347429417852,4,SEMBAWANG NORTH,NORTH REGION
32,BEDOK NTH AVE 3,103.9342040375,1.32984938125,32,326.992466250304,4,SEMBAWANG NORTH,NORTH REGION
33,BEDOK NTH AVE 4,103.939659288889,1.33362678333333,33,208.591300435999,4,SEMBAWANG NORTH,NORTH REGION
34,BEDOK NTH RD,103.935444015789,1.32989553947368,34,399.145003117659,4,SEMBAWANG NORTH,NORTH REGION
35,BEDOK NTH ST 1,103.930602172727,1.32647713636364,35,192.267675577386,4,SEMBAWANG NORTH,NORTH REGION
36,BEDOK NTH ST 2,103.9370669,1.32888735625,36,389.668386971714,4,SEMBAWANG NORTH,NORTH REGION
37,BEDOK NTH ST 3,103.92694643,1.33262065333333,37,251.691970307173,4,SEMBAWANG NORTH,NORTH REGION
38,BEDOK NTH ST 4,103.939309771429,1.33246107142857,38,82.9053953079397,4,SEMBAWANG NORTH,NORTH REGION
39,BEDOK RESERVOIR RD,103.9141066175,1.33323336416667,39,10.0797238776463,4,SEMBAWANG NORTH,NORTH REGION
40,BEDOK RESERVOIR VIEW,103.936608278571,1.33615436428571,40,517.906145596266,4,SEMBAWANG NORTH,NORTH REGION
41,BEDOK STH AVE 1,103.93314246,1.32204816,41,313.854212488899,4,SEMBAWANG NORTH,NORTH REGION
42,BEDOK STH AVE 2,103.937101744444,1.32227508888889,42,257.95116616467,4,SEMBAWANG NORTH,NORTH REGION
43,BEDOK STH AVE 3,103.944698258824,1.31943807647059,43,658.27658649017,4,SEMBAWANG NORTH,NORTH REGION
44,BEDOK STH RD,103.941022280952,1.32056885238095,44,400.356000494528,4,SEMBAWANG NORTH,NORTH REGION
45,BENDEMEER RD,103.8651503375,1.32025720625,45,263.375662719428,4,SEMBAWANG NORTH,NORTH REGION
