X1,address,town,flat_type,lon,lat,Street,SUBZONE_NO,SUBZONE_N,REGION_N,PLN_AREA_N,min_dist_clinic,min_dist_school,min_dist_hawker,min_dist_mrt,min_dist_spf,min_dist_preschool,min_dist_busStop
1,ADMIRALTY DR  block  353A,SEMBAWANG,4 ROOM,103.8189461,1.4506748,ADMIRALTY DR,3,SEMBAWANG CENTRAL,NORTH REGION,SEMBAWANG,209.7330334697693,371.1381838824371,416.73524587453755,190.67260476564607,602.279997078462,127.1649853283128,70.41856515504796
2,ADMIRALTY DR  block  353B,SEMBAWANG,5 ROOM,103.8193846,1.4502191,ADMIRALTY DR,3,SEMBAWANG CENTRAL,NORTH REGION,SEMBAWANG,142.9716308117257,372.57243937385414,353.32004610091775,124.62914620707014,547.5894793309179,109.78487009751957,96.99591319068367
3,ADMIRALTY DR  block  353C,SEMBAWANG,4 ROOM,103.8193166,1.449724,ADMIRALTY DR,3,SEMBAWANG CENTRAL,NORTH REGION,SEMBAWANG,99.16777597748657,409.39064238583677,347.6055291869777,79.72752351214946,493.4388220415358,77.15948610856483,71.37145557512295
4,ADMIRALTY DR  block  354A,SEMBAWANG,5 ROOM,103.8188412,1.4501124,ADMIRALTY DR,3,SEMBAWANG CENTRAL,NORTH REGION,SEMBAWANG,166.37246051264057,374.3073428168916,408.15387995355206,146.95382975352157,542.4874555208415,64.34012227646639,82.51657291628923
5,ADMIRALTY DR  block  354B,SEMBAWANG,5 ROOM,103.81866,1.4503705,ADMIRALTY DR,3,SEMBAWANG CENTRAL,NORTH REGION,SEMBAWANG,201.00961891075585,346.8018261449296,435.23899171275286,181.56682759763984,574.1708788352713,88.92969833836574,64.68557643734803
6,ADMIRALTY DR  block  354C,SEMBAWANG,5 ROOM,103.8182299,1.4506118,ADMIRALTY DR,3,SEMBAWANG CENTRAL,NORTH REGION,SEMBAWANG,253.52289736862386,293.9886628676368,488.95599484722123,234.17484508634402,610.9605518116596,124.31687198999143,47.838458665994864
7,ADMIRALTY DR  block  354D,SEMBAWANG,EXECUTIVE,103.8188185,1.4509385,ADMIRALTY DR,3,SEMBAWANG CENTRAL,NORTH REGION,SEMBAWANG,242.11394066795194,353.73305821905655,441.6294445334647,223.08157581422122,633.1177195746776,139.7388321118938,46.92776761737106
8,ADMIRALTY DR  block  356A,SEMBAWANG,4 ROOM,103.8169619,1.449445,ADMIRALTY DR,3,SEMBAWANG CENTRAL,NORTH REGION,SEMBAWANG,327.22704919829897,241.02030626379292,605.61537587007,312.8956743662273,549.6058491342534,187.35505479673392,78.69488207377573
9,ADMIRALTY DR  block  356B,SEMBAWANG,5 ROOM,103.8174148,1.449222,ADMIRALTY DR,3,SEMBAWANG CENTRAL,NORTH REGION,SEMBAWANG,274.164745052366,292.2692748908555,554.6883440869108,260.967960160376,502.3326852518876,141.6883467682466,79.69587288990239
10,ADMIRALTY DR  block  356C,SEMBAWANG,EXECUTIVE,103.8178902,1.4492741,ADMIRALTY DR,3,SEMBAWANG CENTRAL,NORTH REGION,SEMBAWANG,222.31828971617642,326.4280197117813,501.82381610364035,208.36782105731248,483.6366771641129,89.6035061166555,56.689054957813234
11,ADMIRALTY DR  block  357,SEMBAWANG,4 ROOM,103.8164186,1.4499623,ADMIRALTY DR,3,SEMBAWANG CENTRAL,NORTH REGION,SEMBAWANG,341.98406469291484,159.4396178754407,670.6374128384101,382.2503704431077,630.7951241978554,250.11551734436736,40.62493419066887
