school_name,address,postal_code,dgp_code,zone_code,lon,lat,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N
HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD Singapore,269734,BUKIT TIMAH,WEST,103.8059,1.324644,6,CORONATION ROAD,BUKIT TIMAH,CENTRAL REGION
MILLENNIA INSTITUTE,60 BUKIT BATOK WEST AVENUE 8 Singapore,658965,BUKIT BATOK,WEST,103.7417383,1.3510437,3,BRICKWORKS,BUKIT BATOK,WEST REGION
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD Singapore,679676,BUKIT PANJANG,WEST,103.7692713,1.372936,6,DAIRY FARM,BUKIT PANJANG,WEST REGION
HAIG GIRLS' SCHOOL,51 KOON SENG ROAD Singapore,427072,GEYLANG,EAST,103.9026249,1.3115593,5,GEYLANG EAST,GEYLANG,CENTRAL REGION
TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK Singapore,688261,CHOA CHU KANG,WEST,103.753548,1.383126,1,TECK WHYE,CHOA CHU KANG,WEST REGION
JURONG PRIMARY SCHOOL,320 JURONG EAST STREET 32 Singapore,609476,JURONG EAST,WEST,103.732992,1.348679,1,YUHUA WEST,JURONG EAST,WEST REGION
QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR Singapore,149303,QUEENSTOWN,SOUTH,103.8076794,1.2958718,5,MARGARET DRIVE,QUEENSTOWN,CENTRAL REGION
RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE Singapore,099840,BUKIT MERAH,SOUTH,103.8240741,1.275094,15,TELOK BLANGAH RISE,BUKIT MERAH,CENTRAL REGION
RAFFLES GIRLS' PRIMARY SCHOOL,21 HILLCREST ROAD Singapore,289072,BUKIT TIMAH,SOUTH,103.8062274,1.3300317,5,HILLCREST,BUKIT TIMAH,CENTRAL REGION
ROSYTH SCHOOL,21 SERANGOON NORTH AVENUE 4 Singapore,555855,SERANGOON,NORTH,103.874589,1.3729091,3,SERANGOON NORTH,SERANGOON,NORTH-EAST REGION
DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT Singapore,479226,BEDOK,EAST,103.9202895,1.3358357,2,BEDOK RESERVOIR,BEDOK,EAST REGION
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13 Singapore,609647,JURONG EAST,WEST,103.7364909,1.3365456,2,YUHUA EAST,JURONG EAST,WEST REGION
WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50 Singapore,738853,WOODLANDS,NORTH,103.791794,1.436771,2,MIDVIEW,WOODLANDS,NORTH REGION
EUNOS PRIMARY SCHOOL,95 JALAN EUNOS Singapore,419529,GEYLANG,EAST,103.904727,1.324223,5,GEYLANG EAST,GEYLANG,CENTRAL REGION
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD Singapore,278790,BUKIT TIMAH,WEST,103.784132,1.3168709,4,ULU PANDAN,BUKIT TIMAH,CENTRAL REGION
BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD Singapore,339948,KALLANG,SOUTH,103.8652706,1.3219582,1,BENDEMEER,KALLANG,CENTRAL REGION
CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24 Singapore,648347,JURONG WEST,WEST,103.707576,1.351499,1,WENYA,JURONG WEST,WEST REGION
YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51 Singapore,538720,HOUGANG,NORTH,103.885447,1.3777919,5,TRAFALGAR,HOUGANG,NORTH-EAST REGION
BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS Singapore,109100,BUKIT MERAH,SOUTH,103.8084074,1.2762766,13,TELOK BLANGAH DRIVE,BUKIT MERAH,CENTRAL REGION
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3 Singapore,569920,ANG MO KIO,SOUTH,103.8392649,1.3694167,5,SHANGRI-LA,ANG MO KIO,NORTH-EAST REGION
MAYFLOWER PRIMARY SCHOOL,200 ANG MO KIO AVE 5 Singapore,569878,ANG MO KIO,SOUTH,103.843181,1.376395,6,KEBUN BAHRU,ANG MO KIO,NORTH-EAST REGION
TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32 Singapore,569299,ANG MO KIO,SOUTH,103.8505239,1.365396,4,TOWNSVILLE,ANG MO KIO,NORTH-EAST REGION
