school_name,address,postal_code,dgp_code,zone_code,lon,lat
NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD Singapore,288913,BUKIT TIMAH,SOUTH,103.8044544,1.3300068
TEMASEK JUNIOR COLLEGE,22 BEDOK SOUTH ROAD Singapore,469278,BEDOK,EAST,103.9355622,1.3189246
VICTORIA JUNIOR COLLEGE,20 MARINE VISTA Singapore,449035,BEDOK,EAST,103.919825,1.306142
EUNOIA JUNIOR COLLEGE,53 MOUNT SINAI ROAD Singapore,276880,BISHAN,NORTH,103.7866715,1.3135481
ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6 Singapore,569843,ANG MO KIO,NORTH,103.8457619,1.378043
YISHUN INNOVA JUNIOR COLLEGE,3 YISHUN RING ROAD Singapore,768675,YISHUN,NORTH,103.829634,1.424637
TAMPINES MERIDIAN JUNIOR COLLEGE,21 PASIR RIS STREET 71 Singapore,518799,PASIR RIS,EAST,103.9372655,1.3766539
JURONG PIONEER JUNIOR COLLEGE,21 TECK WHYE WALK Singapore,688258,CHOA CHU KANG,WEST,103.753951,1.384627
CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD Singapore,297822,NOVENA,SOUTH,103.8355543,1.324644
ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST Singapore,139745,QUEENSTOWN,WEST,103.7851322,1.3032395
ST. ANDREW'S JUNIOR COLLEGE,5 SORBY ADAMS DRIVE Singapore,357691,TOA PAYOH,SOUTH,103.8630452,1.3331921
NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3 Singapore,556111,SERANGOON,SOUTH,103.8664323,1.3503224
HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD Singapore,269734,BUKIT TIMAH,WEST,103.8059,1.324644
MILLENNIA INSTITUTE,60 BUKIT BATOK WEST AVENUE 8 Singapore,658965,BUKIT BATOK,WEST,103.7417383,1.3510437
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD Singapore,679676,BUKIT PANJANG,WEST,103.7692713,1.372936
HAIG GIRLS' SCHOOL,51 KOON SENG ROAD Singapore,427072,GEYLANG,EAST,103.9026249,1.3115593
TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK Singapore,688261,CHOA CHU KANG,WEST,103.753548,1.383126
JURONG PRIMARY SCHOOL,320 JURONG EAST STREET 32 Singapore,609476,JURONG EAST,WEST,103.732992,1.348679
QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR Singapore,149303,QUEENSTOWN,SOUTH,103.8076794,1.2958718
RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE Singapore,099840,BUKIT MERAH,SOUTH,103.8240741,1.275094
RAFFLES GIRLS' PRIMARY SCHOOL,21 HILLCREST ROAD Singapore,289072,BUKIT TIMAH,SOUTH,103.8062274,1.3300317
ROSYTH SCHOOL,21 SERANGOON NORTH AVENUE 4 Singapore,555855,SERANGOON,NORTH,103.874589,1.3729091
DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT Singapore,479226,BEDOK,EAST,103.9202895,1.3358357
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13 Singapore,609647,JURONG EAST,WEST,103.7364909,1.3365456
WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50 Singapore,738853,WOODLANDS,NORTH,103.791794,1.436771
EUNOS PRIMARY SCHOOL,95 JALAN EUNOS Singapore,419529,GEYLANG,EAST,103.904727,1.324223
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD Singapore,278790,BUKIT TIMAH,WEST,103.784132,1.3168709
BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD Singapore,339948,KALLANG,SOUTH,103.8652706,1.3219582
CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24 Singapore,648347,JURONG WEST,WEST,103.707576,1.351499
YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51 Singapore,538720,HOUGANG,NORTH,103.885447,1.3777919
BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS Singapore,109100,BUKIT MERAH,SOUTH,103.8084074,1.2762766
